ELR_enc,Grouping_Full_Name_enc,weather_station,Asset_Number
4,9,Leeds,48075
4,9,Leeds,48081
4,9,Leeds,48081
4,9,Leeds,48081
4,9,Leeds,48081
5,9,York,48353
5,9,York,48353
5,9,York,48354
5,9,York,48354
6,9,York,48355
6,9,York,48356
6,9,York,48356
6,9,York,48358
6,9,York,48358
6,9,York,48358
6,9,York,48358
6,9,York,48367
8,9,Manchester,49828
8,9,Manchester,49828
8,9,Manchester,49828
8,9,Manchester,49828
8,9,Manchester,49828
8,9,Manchester,49829
8,9,Manchester,49830
8,9,Manchester,49830
8,9,Manchester,49831
8,9,Manchester,49832
10,9,York,50378
11,9,York,50383
11,9,York,50383
11,9,York,50383
11,9,York,50384
12,9,Leeds,50387
12,9,Leeds,50387
12,9,Leeds,50387
13,9,Leeds,50811
13,9,Leeds,50811
13,9,Leeds,50811
14,9,Mirfield,51863
14,9,Mirfield,51864
14,9,Mirfield,51864
14,9,Mirfield,51864
14,9,Mirfield,51864
14,9,Mirfield,51864
14,9,Mirfield,51864
14,9,Mirfield,51865
17,9,Manchester,53991
17,9,Manchester,53991
17,9,Manchester,53991
17,9,Manchester,53992
19,9,Huddersfield,53999
19,9,Huddersfield,53999
19,9,Huddersfield,53999
19,9,Huddersfield,53999
19,9,Huddersfield,53999
19,9,Huddersfield,53999
19,9,Huddersfield,53999
19,9,Huddersfield,53999
19,9,Huddersfield,53999
19,9,Huddersfield,53999
19,9,Huddersfield,54002
19,9,Huddersfield,54002
19,9,Huddersfield,54002
19,9,Huddersfield,54002
19,9,Huddersfield,54002
19,9,Huddersfield,54002
19,9,Huddersfield,54002
19,9,Huddersfield,54002
19,9,Huddersfield,54002
19,9,Huddersfield,54002
19,9,Huddersfield,54002
19,9,Huddersfield,54002
19,9,Huddersfield,54002
19,9,Huddersfield,54002
19,9,Huddersfield,54002
19,9,Huddersfield,54002
19,9,Huddersfield,54002
19,9,Huddersfield,54002
20,9,Mirfield,54014
20,9,Mirfield,54014
20,9,Mirfield,54014
20,9,Mirfield,54014
20,9,Mirfield,54014
21,9,Manchester,54015
22,9,Huddersfield,54035
22,9,Huddersfield,54035
22,9,Huddersfield,54035
22,9,Huddersfield,54035
22,9,Huddersfield,54035
22,9,Huddersfield,54035
22,9,Huddersfield,54035
22,9,Huddersfield,54035
22,9,Huddersfield,54035
22,9,Huddersfield,54035
22,9,Huddersfield,54035
22,9,Huddersfield,54035
22,9,Huddersfield,54035
22,9,Huddersfield,54035
22,9,Huddersfield,54035
22,9,Huddersfield,54035
22,9,Mirfield,54036
22,9,Mirfield,54040
22,9,Mirfield,54041
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Huddersfield,54058
22,9,Mirfield,54060
22,9,Mirfield,54060
22,9,Mirfield,54060
22,9,Mirfield,54060
22,9,Mirfield,54062
23,9,Leeds,54499
23,9,Leeds,54502
23,9,York,54503
