event,T,Asset_Number,ELR,High_Level_Asset_Class,Asset_Class_Grouping,Grouping_Full_Name,Engineering_Suffix,System_Asset_Type,EQUIP_CLASS_DESC,birth,death,Sum,weather_station
0,267.1062032,48075,DOL2,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,17/06/2018 14:15,,0.0,Leeds
0,443.1999532,48081,DOL2,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,23/12/2017 12:00,,0.0,Leeds
0,308.84161989999996,48353,ECM3,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,06/05/2018 20:36,,0.0,York
0,460.84578650000003,48354,ECM3,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,05/12/2017 20:30,,0.0,York
0,596.3381477,48355,ECM4,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,23/07/2017 08:41,,0.0,York
0,449.60967539999996,48356,ECM4,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,17/12/2017 02:10,,0.0,York
0,396.48953660000006,48358,ECM4,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,08/02/2018 05:03,,0.0,York
0,590.2124532,48367,ECM4,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,29/07/2017 11:42,,0.0,York
0,387.83328660000006,49828,HAJ ,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,16/02/2018 20:48,,0.0,Manchester
0,522.0019440000001,49829,HAJ ,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,05/10/2017 16:45,,0.0,Manchester
0,503.0409255,49830,HAJ ,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,24/10/2017 15:49,,0.0,Manchester
0,367.23259210000003,49831,HAJ ,Track,Track,Track,POINTS (S&C),S&C - TURNOUT,Track ID                                          ,09/03/2018 11:13,,0.0,Manchester
0,652.9638305999999,49832,HAJ ,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,27/05/2017 17:40,,0.0,Manchester
0,726.2624417000001,50378,HUL2,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,15/03/2017 10:30,,0.0,York
0,398.81453660000005,50383,HUL3,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,05/02/2018 21:15,,0.0,York
0,681.7506361000001,50384,HUL3,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,28/04/2017 22:47,,0.0,York
0,340.1999533,50387,HUL4,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,05/04/2018 12:00,,1672.0,Leeds
0,270.28328660000005,50811,LBE1,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,14/06/2018 10:00,,0.0,Leeds
0,471.8763422,51863,MDL1,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,24/11/2017 19:46,,0.0,Mirfield
0,270.23884219999997,51864,MDL1,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,14/06/2018 11:04,,0.0,Mirfield
0,660.6166084,51865,MDL1,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,20/05/2017 02:00,,101.0,Mirfield
0,357.84578660000005,53991,MVL1,Track,Track,Track,OLE ELECTRICAL SECTION,OLE ELECTRICAL SECTION,Track ID                                          ,18/03/2018 20:30,,0.0,Manchester
0,412.37217549999997,53992,MVL1,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,23/01/2018 07:52,,0.0,Manchester
0,319.3624533,53999,MVL3,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,26/04/2018 08:06,,0.0,Huddersfield
0,341.2568978,54002,MVL3,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,04/04/2018 10:38,,0.0,Huddersfield
0,278.6825922,54014,MVL4,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,06/06/2018 00:25,,0.0,Mirfield
0,201.5332867,54015,MVM ,Track,Track,Track,LINESIDE SIGNALLING CABLE,CABLE MULTICORE - SIGNAL (VIRTL),Track ID                                          ,22/08/2018 04:00,,0.0,Manchester
0,269.61662,54035,MVN2,Track,Track,Track,POINTS (S&C),S&C - TURNOUT,Track ID                                          ,15/06/2018 02:00,,0.0,Huddersfield
0,744.9304973,54036,MVN2,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,24/02/2017 18:28,,0.0,Mirfield
0,601.1638422999999,54040,MVN2,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,18/07/2017 12:52,,122.0,Mirfield
0,773.3936917999999,54041,MVN2,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,27/01/2017 07:21,,271.0,Mirfield
0,293.8180089,54058,MVN2,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,21/05/2018 21:10,,0.0,Huddersfield
0,321.4534256,54060,MVN2,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,24/04/2018 05:55,,0.0,Mirfield
0,367.1374534,54062,MVN2,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,09/03/2018 13:30,,245.0,Mirfield
0,734.1478585,54499,NOC ,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,07/03/2017 13:15,,0.0,Leeds
0,788.2832752,54502,NOC ,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,12/01/2017 10:00,,0.0,Leeds
0,399.1312034,54503,NOC ,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,05/02/2018 13:39,,0.0,York
0,655.9298029,55016,PEH ,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,24/05/2017 18:29,,0.0,Huddersfield
0,107.0839812,55017,PEH ,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,24/11/2018 14:47,,0.0,Huddersfield
0,354.499259,58134,TJC3,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,22/03/2018 04:49,,0.0,Mirfield
0,797.0923029,58135,TJC3,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,03/01/2017 14:35,,0.0,Leeds
0,283.218009,58136,TJC3,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,01/06/2018 11:34,,0.0,Leeds
0,472.96037010000003,58145,TJC3,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,23/11/2017 17:45,,0.0,Leeds
0,376.7346756,58146,TJC3,Track,Track,Track,TRACK (P.W),TRACK,Track ID                                          ,27/02/2018 23:10,,0.0,Leeds
0,632.1978701,145644,MVM ,Track,Track,Not Applicable,TRACK (P.W),TRACK,End Stop                                          ,17/06/2017 12:03,,10.0,Manchester
0,661.5541085,159598,MVL1,P&C,Level Crossings,Level Crossings,LEVEL CROSSING EQUIPMENT,LX - CCTV MONITORED BARRIERS,Level Crossing                                    ,19/05/2017 03:30,,141.0,Manchester
0,765.0714696,183741,HAJ ,Track,Track,Track,POINTS (S&C),S&C - TURNOUT,S&C Unit                                          ,04/02/2017 15:05,,317.0,Manchester
0,258.3860645,186801,PPA1,Track,Track,Track,POINTS (S&C),S&C - TURNOUT,S&C Unit                                          ,26/06/2018 07:32,,295.0,Manchester
0,489.3895368,186984,MVN2,Track,Track,Track,POINTS (S&C),S&C - TURNOUT,S&C Unit                                          ,07/11/2017 07:27,,329.0,Manchester
0,358.2693979,187011,MVM ,Track,Track,Track,POINTS (S&C),S&C - TURNOUT,S&C Unit                                          ,18/03/2018 10:20,,336.0,Manchester
0,349.5402312,187013,MVM ,Track,Track,Track,TRACK CIRCUIT,TRACK CCT -DC MV AC IMM DC TOL,S&C Unit                                          ,27/03/2018 03:50,,340.0,Manchester
0,632.7673146000001,193696,MPR1,P&C,Level Crossings,Not Applicable,LEVEL CROSSING EQUIPMENT,LX - MCB WITH OBSTACLE DETECTION,Access Point                                      ,16/06/2017 22:23,,4.0,Manchester
0,503.09648119999997,194094,MVL1,P&C,Points,Not Applicable,POINTS (S&C),S&C - TURNOUT,Access Point                                      ,24/10/2017 14:29,,3.0,Manchester
0,754.623553,194102,MVL1,S&T,Signalling,Not Applicable,SIGNAL,SIGNAL HEAD -  CONV LED - 1 MOD,Access Point                                      ,15/02/2017 01:50,,11.0,Manchester
0,265.3249535,864101,TJC3,P&C,Points,Points,POINTS (OPERATING EQUIPMENT),POE - HYDRAULIC/PNEUMATIC,Point Operating Equipment                         ,19/06/2018 09:00,,55.0,Mirfield
0,334.3388423,865676,TJC3,P&C,Points,Points,POINTS (OPERATING EQUIPMENT),POE - HYDRAULIC/PNEUMATIC,Point Operating Equipment                         ,11/04/2018 08:40,,119.0,Mirfield
